issue_number,title,ground_truth
1525,Error: websocket: bad handshake for doctl apps logs <app id> -f --tail 200,bug
1516,doctl kubernetes cluster node-pool create mycluster123 --auto-scale --min-nodes 0 --name test --size s-1vcpu-2gb --max-nodes 1 --count 0 says the node pool needs at least min 1,bug
1513,Incremental builds don't work with --remote-build,bug
1507,Adding taints has wrong syntax in DO docs,bug
1474,Serverless triggers are not being deployed,bug
1464,doctl registry garbage-collection start --force moves the registry to RO mode but don't run garbage collector,bug
1447,`doctl auth init` connection refused,bug
1444,403 response on cluster kubeconfig save from the pipeline in Gitlab,bug
1418,Autocompletion for Fish Shell is unclear,bug
1417,Unable to delete tags from bash variable,bug
1407,doctl auth init -t TOKEN should not print token to stdout,bug
1396,--access-token flag ignored when removing registry,bug
1394,--access-token flag ignored when also providing --context flag,bug
1390,panic: runtime error: invalid memory address or nil pointer dereference,bug
1382,`doctl version` now outputs json without `-o json` switch,bug
1380,`doctl registry gc start` does nothing,bug
1375,Cannot get read-only creds with `doctl registry login`,bug
1366,Can't use shell autocompletion on macOS + zsh,bug
1364,Provide Proper Snap Package on ARM,bug
1359,Database Replica Functions Missing Integration Tests,enhancement
1345,"""Unexpected end Of JSON input"" error doing `doctl serverless deploy`.",bug
1344,"Serverless deploy command automatically creating ""__deployer__.zip"" and ignoring main file configuration in project.yml",bug
1341,serverless project init uses `websecure` string instead of `webSecure` when generating project template,bug
1340,"private networking is enabled even though flag is set to off, need private network off",bug
1331,doctl sls fn invoke not handling function timeout correctly,bug
1329,oh-my-zsh plugin not working,bug
1322,Microservices deployment -> doctl - create with upsert and update fails to update app component,bug
1312,Unable to remove the label from the Kubernetes cluster node pool.,bug
1306,Unable to get a cluster list with custom columns containing tags,bug
1300,Deploying functions tries to npm install in wrong directory,bug
1291,Broken link to AUR package,bug
1284,serverless connect + status (and others) fails with Snap,bug
1281,Error: open : The system cannot find the file specified.,bug
1280,config.yml not found when executing doctl commands - default path corrupted,bug
1271,doctl fails to get env vars,bug
1267,--interactive false still gives a confirmation prompt,bug
1217,`doctl apps spec validate app.yml` returns error when `health_check.port` is used,bug
1192,Getting Duplicate Suggestions for invalid commands  ,bug
1180,Droplet sizes in doctl do not match those displayed in the Web,bug
1176,doctl auth init flag --access-token do not have effect,bug
1171,doctl sls connect fails on snap,bug
1167,"Get ""/v2/account"": unsupported protocol scheme """"",bug
1165,Can't port forward service on DO k8s,bug
1147,Documentation not rendering correctly for some pages,bug
1144,Initial node pool contains more nodes than expected,bug
1129,image on docker hub seems to be dysfunctional,bug
1110,"`Fingerprint could not be generated, please make sure your key is valid` while creating ssh-key with doctl",bug
1106,Doctl/API return 404 when Droplet name is just number,bug
1088,Saving the kubernetes config is not unique enough,bug
1087,Get droplet by name does not work in the case your name is a number,bug
1086,databases firewalls append error: command contains unsupported arguments,bug
1085,compute ssk-key import gets permission denied error,bug
1074,Config initialization failed: open /home/<user>/.config/doctl/config.yaml: permission denied,bug
1071,apps create and apps create-deployment do not return error codes,bug
1064,preserve_path_prefix is missing,bug
1063,`doctl k8s clusters create --wait --1-clicks` is not waiting long enough,bug
1059,"Unknown field ""log_destinations"" when updating spec",bug
1042,doctl uses the wrong executable name in kubeconfig,bug
1037,Cannot delete volume using doctl,bug
1032,connection refused from doctl,bug
1029,"Docker compose push return unexpected end of JSON input: """"",bug
1024,Typo in --wait command,bug
1023,snapshot help doesn't list required parameters,bug
1020,domain record update unexpectedly changes record TTL,bug
1018,Option --droplet-agent false creates a duplicate droplet,bug
1007,Help for 'kubeconfig save' is incomplete ,bug
1003,`doctl compute droplet create --wait` is not waiting long enough ,bug
1001,1.61.0 release tarball changed?,bug
999,Removing default auth context,bug
996,"""doctl auth switch"" mangles all auth-contexts keys that are email addresses",bug
995,installation issues on macos ,bug
980,compute image create syntax is incomplete,bug
979,Fix the configuration removing command,bug
975,Can't (un)set result limit count,bug
968,`doctl registry login` with doctl+Docker snaps uses incorrect (!?) `config.json`,bug
954,doctl apps logs follow mode unexpectedly exits,bug
947,connect api prompts error cannot assign requested address,bug
936,Create new API keys from doctl,enhancement
934,Appspec global envs removed on app update,bug
930,Unable to Remove (default?) VPCS,bug
928,Improve error message when providing non-numeric droplet id,bug
923,Doctl Returns 500 Error When deploying app.yaml to DO App Platform (image source),bug
919,"How to update DNS records? Receiving ""Data needs to end with a dot (.)""",bug
916,zsh autocompletion uses non portable sed extensions,bug
915,"""auth init"" failed with ""Error: mkdir $HOME/.config: file exists""",bug
908,`doctl auth init` not working on Windows 10 powershell,bug
891,auth init is freezing after OK,bug
889,No size unit for `doctl compute volume-action resize`,bug
883,Doctl Returns 500 Error When deploying app.yaml to DO App Platform,bug
881,doctl auth init prompts for token even if flag is present,bug
878,`doctl apps logs ${ID}` panics (until logs become available),bug
877,Error: neither $XDG_CONFIG_HOME nor $HOME are defined,bug
876,doctl registry login error: docker-credential-secretservice: executable file not found in $PATH,bug
853,--auto-upgrade flag requires '=' and documentation doesn't describe usage well,bug
