issue_number,title,github_labels
1436,Not Possible to See CName Domain Record Tags from the CLI with Doctl?,suggestion
1407,doctl auth init -t TOKEN should not print token to stdout,bug
1382,`doctl version` now outputs json without `-o json` switch,bug
1380,`doctl registry gc start` does nothing,bug
1375,Cannot get read-only creds with `doctl registry login`,bug
1358,Bring back SizeSlug option to doctl compute droplet list,suggestion
1349,Allow `--build-command` to be passed for docker builds,suggestion
1345,"""Unexpected end Of JSON input"" error doing `doctl serverless deploy`.","bug,Needs Investigation"
1331,doctl sls fn invoke not handling function timeout correctly,"bug,Needs Investigation"
1326,doctl as NPM package and .deb,suggestion
1322,Microservices deployment -> doctl - create with upsert and update fails to update app component,"bug,waiting-response,Needs Investigation"
1280,config.yml not found when executing doctl commands - default path corrupted,bug
1271,doctl fails to get env vars,bug
1243,Add shell completion to doctl running in docker,suggestion
1217,`doctl apps spec validate app.yml` returns error when `health_check.port` is used,"bug,waiting-response"
1180,Droplet sizes in doctl do not match those displayed in the Web,"bug,waiting-response"
1176,doctl auth init flag --access-token do not have effect,"bug,Needs Investigation"
1171,doctl sls connect fails on snap,bug
1156,Add examples other than [*] to compute cdn flush --files in documentation and/or add output showing which files are flushed,"suggestion,good first issue,hacktoberfest,docs"
1147,Documentation not rendering correctly for some pages,bug
1139,CVE-2022-21698 (High) detected in github.com/docker/cli-v20.10.14,security vulnerability
1131,CVE-2021-44716 (High) detected in github.com/docker/cli-v19.03.13-beta1,security vulnerability
1130,CVE-2022-27191 (High) detected in github.com/docker/cli-v19.03.13-beta1,security vulnerability
1129,image on docker hub seems to be dysfunctional,bug
1110,"`Fingerprint could not be generated, please make sure your key is valid` while creating ssh-key with doctl",bug
1106,Doctl/API return 404 when Droplet name is just number,"bug,duplicate"
1096,CVE-2021-41092 (High) detected in github.com/docker/cli-v19.03.13-beta1,security vulnerability
1095,CVE-2021-32760 (Medium) detected in github.com/docker/cli-v19.03.13-beta1,security vulnerability
1094,CVE-2021-3121 (High) detected in github.com/docker/cli-v19.03.13-beta1,security vulnerability
1092,CVE-2021-43565 (High) detected in github.com/docker/cli-v19.03.13-beta1,security vulnerability
1085,compute ssk-key import gets permission denied error,bug
1074,Config initialization failed: open /home/<user>/.config/doctl/config.yaml: permission denied,"bug,snap"
1063,`doctl k8s clusters create --wait --1-clicks` is not waiting long enough,"bug,do-api,Needs Investigation"
1042,doctl uses the wrong executable name in kubeconfig,bug
1037,Cannot delete volume using doctl,bug
1032,connection refused from doctl,bug
1029,"Docker compose push return unexpected end of JSON input: """"",bug
1028,doctl binary for Android ARM64,suggestion
1024,Typo in --wait command,bug
1023,snapshot help doesn't list required parameters,bug
1007,Help for 'kubeconfig save' is incomplete ,bug
1003,`doctl compute droplet create --wait` is not waiting long enough ,"bug,do-api,Needs Investigation"
996,"""doctl auth switch"" mangles all auth-contexts keys that are email addresses",bug
992,doctl databases fork existing cluster,"suggestion,api-parity"
989,doctl apps create support for update existing apps,suggestion
980,compute image create syntax is incomplete,bug
968,`doctl registry login` with doctl+Docker snaps uses incorrect (!?) `config.json`,"bug,snap"
954,doctl apps logs follow mode unexpectedly exits,bug
936,Create new API keys from doctl,"enhancement,suggestion,do-api"
932,CVE-2020-29652 (High) detected in github.com/digitalocean/doctl-v1.54.0,security vulnerability
927,CVE-2020-8565 (Medium) detected in github.com/digitalocean/doctl-v1.54.0,security vulnerability
923,Doctl Returns 500 Error When deploying app.yaml to DO App Platform (image source),bug
908,`doctl auth init` not working on Windows 10 powershell,"bug,waiting-response"
895,`doctl compute droplet get <droplet-id|droplet-name>`,suggestion
894,SSH key public_key not accessible via doctl,"help wanted,suggestion,good first issue,hacktoberfest"
889,No size unit for `doctl compute volume-action resize`,bug
883,Doctl Returns 500 Error When deploying app.yaml to DO App Platform,bug
881,doctl auth init prompts for token even if flag is present,bug
878,`doctl apps logs ${ID}` panics (until logs become available),bug
876,doctl registry login error: docker-credential-secretservice: executable file not found in $PATH,"bug,suggestion,snap"
870,Several misspellings in doctl,"help wanted,good first issue,hacktoberfest"
869,Top-level doctl package fails golint check,"help wanted,good first issue,hacktoberfest"
866,Run gofmt on doctl's codebase,"help wanted,good first issue,hacktoberfest"
856,Allow picking the context’s name in `doctl kubernetes cluster kubeconfig save`,suggestion
853,--auto-upgrade flag requires '=' and documentation doesn't describe usage well,"bug,docs"
